type,disc,id,product_name,competitor_price,our_price,inventory,demand_score,img_url,timestamp,url
phone,0,3917237915722229339,Redmi A3X 4 GB + 128 GB Midnight Black,6999.0,6299.0,45,1.2,https://lh3.googleusercontent.com/spp/AGWwKCcISouU9RF8qAqh87aRa1f1N7_ne7BYZqkc1B9g9PbGA38hxV_8FOelfNouzCiEb9QaxaL6XqG2kzB-12Omb8boxrUuQRtql9HMBkAQa_K1cofw6VvnUlJMBAdg1n_SRE7oMZiQY6zKnXXNdC-nX3vu0IaqRkBrh31fye7UfFMO3isstuthI9cwY94shCEDpRtwFb4EtQ=s180-rw-pd-pc0x00ffffff,2025-01-01T12:00:00.000000,https://www.google.co.in/shopping/product/r/IN/3917237915722229339?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhCAAQ
phone,1,6031885963872889335,"oppo A5 Pro 5G (8GB RAM, 128GB, Feather Blue)",17999.0,17999.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCdIPV1jiQcTVcTa2Gzb7CDVbZv2-lFP7Bby7rnElVIkw41G_Cf4x7je6zgEgKXf9hutCgCgYb6cWGBrooD7iEetTPHS-lV_lba64B4H-Ri_6fCsBY9KPdaylpsEvxnEZZ0Ek5Pq99ebMq20Zah9_1aeoZDeVZrdlonVzDFU63OgDeEHWf2FAPQ-vTPk1OL9CDTRH1nDlw=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925118,https://www.google.co.in/shopping/product/r/IN/6031885963872889335?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhCKAQ
phone,2,11509951153153522936,"Nothing Phone (2a) 5G 128 GB (White, 8 GB RAM)",21999.0,21999.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCe9T-EBjNjflfZhQkokFwrA_5rx-Msu5FXMls0X7XlzSi108h77r5xX85hKIw0GRNragAUzPGs5v4KYQ5ymmz8NsFoLUjcTfJz9G6EGgfobiCHcxvg20jS9jBxypwHUyKOg1syGtvNzJXa3xwrIST-jRsX4OBZzAAxXp7OQ3xtbUOT2r7D-xWpZqQCqY_VXIweN3WP6OA=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925184,https://www.google.co.in/shopping/product/r/IN/11509951153153522936?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhCUAQ
phone,3,17267801953955841810,motorola edge 60 fusion 8GB + 256GB Pantone slipstream,23679.0,23679.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCfZ8hNDH0q_AcAS1MIDxQX0XmkR_QMTej065W7ePuLTH5FFm6LPHs0Hm6HxYLHlKYcSb2a04QUVuDS38t4DLeI7gnWhbguu46cpVIpjCOK5KYYdJzPCWVWXLRPfBoqqK1lYiv7SzYLEDXc6I_9YjKfEQKkX0U-XjZJneD9ibGRlxsnF6X50N7dqONhueTFB_2McrbVk7Mg=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925217,https://www.google.co.in/shopping/product/r/IN/17267801953955841810?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhCeAQ
phone,4,2095278659052459138,"Motorola g64 5G (Ice Lilac, 128 GB) (8 GB RAM)",9999.0,9999.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCfesG-B3013AsHEGR6ZG7j0ibv6B_gMCuz3FKLfu9DlKu0Bs3JXbosq1Q0Ir-IZ1Ft57ig4u3ewONV-g3xilvQefAZrr3uG7qDvF2rfUxw_u7JfKhkhYSrPh40B70aoCyLPDdPGQq7vfYE_slT4l-684IMmZCD24SBHRYQ2v4Tydti6cPGYAhedlIL7g0WgQygPs5aX0RI=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925249,https://www.google.co.in/shopping/product/r/IN/2095278659052459138?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhCpAQ
phone,5,13040943532839233571,"Redmi 12 (4GB RAM, 128GB, Jade Black)",11999.0,11999.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCetxhasfHA4F2nW-wXvl38fyOQOEapJQskFErNtcDnoCRMnCqdefNxy3g3MzqcT49BdJp6IDEhVIJhZeOV4owOrTqstiWEFLmmlLwFacF8VGnnqvTgtZiZwwctcIrHirgzGmn9oD2TXzZjafTqEag7byWmYPilnrMnH1bZMuTaBKLQmjsgqYBijab0hdRzpTGmhVYB2Tw=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925279,https://www.google.co.in/shopping/product/r/IN/13040943532839233571?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhCzAQ
phone,6,11527692613255812279,"Motorola G85 5G (Viva Magenta, 8GB RAM + 128GB Storage)",16989.0,16989.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCdodVG0rQdXTa6NC8Rf8Csp1BoxRDPbFixgpevjns-tveWjrOR7LVgIuh_gz24j7T6sa6ZqojJ6bz2RX-CJVsMxaqkKMXpf85E1lqy-nmjGX_gEiBjfiCdAop9yEer_BWrf_JN5IEag0FLdC2n2KVaY0z0Nw53_nPc8brYbAwviwoQ1Kq6lUwtIJ3Jc-KVrSH9b1C16rA=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925307,https://www.google.co.in/shopping/product/r/IN/11527692613255812279?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhC9AQ
phone,7,17983880509161730800,"Samsung Galaxy A16 5G (8GB RAM, 128GB, Light Green)",17499.0,17499.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCdrwNpULKrYtd2smstAhMGxd3x1sYi2dRP8lH33mX2mCVNJnp3QW-tqW1jlw3RuEsveAO2_TOv4BLpoXuEFFJYh4WY7AqC_tn-w-R3osXxe-DL4w6Br7fnBfrMdDUbUAXama_c5_OXtNWj5Za_RSjwv-xtPBFI9lU16zmbdcS7K6qK8mBXuakFkmWYet8F2DzgLo7taXQ=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925344,https://www.google.co.in/shopping/product/r/IN/17983880509161730800?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhDHAQ
phone,8,11724951356925322078,"CMF by Nothing Phone 1 5G ( Orange, 8GB-128GB )",16499.0,16499.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCdmVs5hZeCQc9A0Y_HWFdv5CtdZku6lUHVxH6K97aSMTMJpggPVwtPXHqz3xxtl50xqs-d7_dkDZn_8Qn8wQePAH-AFKI_X6BopqbaOk3FfrWrYBR2QLFBZ8IOZYRkaAm23hox3xdRoTqN_nd_oeo9rfEiY_JodaLl8_D3I_v5kcCmvETFzw2LKLqxodaS3n-9ZOZXC=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925373,https://www.google.co.in/shopping/product/r/IN/11724951356925322078?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhDRAQ
phone,9,6504123824939787044,"realme GT 6 5G (8GB RAM, 256GB, Fluid Silver)",34499.0,34499.0,8,1.0,https://lh3.googleusercontent.com/spp/AGWwKCcAxPaiei0z5LKezSehivMSC9Un6DQ71ciZp1Wx2t6USYn1nUzjaiYMqEIkW1GeR9SX1CHTpWES25zkioRjX9khafgX_qVySeAIZd4yMeEx93As06RhW6AILWqcKOp_tWKk6mClHZCG501SJKRn8sefcwvJVx0HJPrKg6ESZIym4pyx4Ur0RjGt71VJYmMzwfeEz2niWw=s180-rw-pd-pc0x00ffffff,2025-08-08T01:19:09.925405,https://www.google.co.in/shopping/product/r/IN/6504123824939787044?gl=in&hl=en&q=phone&sa=X&ved=2ahUKEwiqq-7XhfqOAxXXTJEFHfxkC-AQ3JAGegUIAhDbAQ
